,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,313.23839678249993,10,262,325.9888253874355,7.588735,,-5187.158064187953,1000,predicted,Mean
P76077,316.66789678249995,10,309,330.0727875748268,7.588735,,-3272.3179206874506,1000,predicted,Mean
P76078,318.59661778128,10,95,325.6293918523643,7.588735,,-4394.040607118996,1000,BullShit,Mean
P76079,315.2960967825,10,248,330.616498852144,7.588735,,-3556.1255187945058,1000,predicted,Mean
P76081,318.59661778128,10,356,330.1486136158636,7.588735,,-4461.340052534732,1000,BullShit,Mean
P07762,314.397380399788,10,728,323.67238268,4.07,326.75,-2681.287531534931,1000,predicted,Exp
P32166,315.10732777632654,10,308,332.483740134755,4.07,,-3539.6857053420435,1000,predicted,Exp
P0ABU0,313.86321853681375,10,285,326.339170763495,4.07,,-4654.838769938251,1000,predicted,Exp
P13016,314.0004445802973,10,183,326.776057243863,4.07,,-4866.560415147118,1000,predicted,Exp
P10371,315.7012823085509,10,245,325.639915022448,4.07,,-4223.103512556429,1000,predicted,Exp
P26647,314.21604159460594,10,245,327.46245334163,4.07,,-4818.7796811620565,1000,predicted,Exp
P45568,313.092767405103,10,398,328.25368483,4.07,329.35,-5038.711684708444,1000,predicted,Exp
P77488,312.091015442479,10,620,322.88070819,4.07,325.35,-5409.085475129896,1000,predicted,Exp
P0AEW9,313.3402507809179,10,312,329.041597519637,4.07,,-4546.630528998345,1000,predicted,Exp
P08331,319.702120267289,10,647,331.82628229,4.07,334.55,-4059.476097007697,1000,predicted,Exp
P0A9D8,321.02356430061207,10,274,342.58446132,4.07,344.27,-5737.998063332503,1000,predicted,Exp
P62707,315.30171705744897,10,250,322.18411989,4.07,323.7,-4987.073430805391,1000,predicted,Exp
P37689,316.910484021412,10,514,331.67334932,4.07,336.23571429,-6168.930879105636,1000,predicted,Exp
P76082,316.66789678249995,10,255,326.63451338874717,7.588735,,-4132.546364171958,1000,predicted,Mean
P15047,317.3537967825,10,248,327.39807990451516,7.588735,,-5314.434597866359,1000,predicted,Mean
P0ABR9,311.8665967825,10,314,325.9739538398524,7.588735,,-4010.5964968168096,1000,predicted,Mean
P37674,318.59661778128,10,157,326.5527048463083,7.588735,,-4405.372515535752,1000,BullShit,Mean
P37675,318.59661778128,10,425,327.0970303986085,7.588735,,-3025.591719339385,1000,BullShit,Mean
P37672,315.2960967825,10,332,328.13463267788137,7.588735,,-3114.3838560456284,1000,predicted,Mean
P37676,318.59661778128,10,328,327.03605687870817,7.588735,,-5051.31842657818,1000,BullShit,Mean
P30863,313.0227853215338,10,267,325.847183449646,4.07,,-4155.409023517697,1000,predicted,Exp
Q46857,313.51308859233893,10,275,323.04076279,4.07,325.75,-1758.8828734311337,1000,predicted,Exp
P77231,313.23839678249993,10,292,329.48046374706394,7.588735,,-2889.450560633772,1000,predicted,Mean
P62617,314.6101967825,10,159,328.67487616824855,7.588735,,-3754.235237402401,1000,predicted,Mean
Q46893,316.3180895543145,10,236,338.522141210807,4.07,,-5127.820879961675,1000,predicted,Exp
P0AB77,313.441663063489,10,398,327.18076429,4.07,331.45,-5201.544003776302,1000,predicted,Exp
P26281,306.37939678249995,10,159,330.4597938248699,7.588735,,-4866.360908743149,1000,experimental,Mean
Q6BF16,315.98199678249995,10,205,326.37114254892657,7.588735,,-3270.7735250885357,1000,predicted,Mean
P31459,314.6101967825,10,292,330.3462984485876,7.588735,,-2807.464129429637,1000,predicted,Mean
P37647,316.0294241449654,10,309,328.868319468212,4.07,,-3498.8135052162684,1000,predicted,Exp
P0A715,312.444081987264,10,284,319.63736704,4.07,320.95,-3589.6875973511,1000,predicted,Exp
P0A9J4,314.31547869124046,10,303,327.779031172367,4.07,,-4071.385341888366,1000,predicted,Exp
P0ABQ2,316.5237791804609,10,294,332.625896785931,4.07,,-5219.977702015603,1000,predicted,Exp
P77161,313.23839678249993,10,292,328.0959510287896,7.588735,,-3000.281333324508,1000,predicted,Mean
P77044,313.23839678249993,10,288,326.10979698903463,7.588735,,-5640.543159790894,1000,predicted,Mean
P30140,314.6101967825,10,377,328.8002482867231,7.588735,,-3757.914445267342,1000,predicted,Mean
P09151,312.996739071896,10,523,323.58056056,4.07,327.21666667,-2775.5635667280103,1000,predicted,Exp
P0A712,318.59661778128,10,327,326.9361859585887,7.588735,,-3071.40406265723,1000,BullShit,Mean
P77608,311.8665967825,10,269,328.5155502281631,7.588735,,-4330.015109128774,1000,predicted,Mean
P77243,314.37775186413336,10,483,327.977290239202,4.07,,-5461.66963444273,1000,predicted,Exp
P31660,311.33011085573,10,389,324.825615586533,4.07,,-3054.572894609594,1000,predicted,Exp
P77541,314.6537653504714,10,296,326.672334767499,4.07,,-4536.512338939969,1000,predicted,Exp
P25534,318.59661778128,10,392,327.4691084449176,7.588735,,-4166.910821757275,1000,BullShit,Mean
P0AFG3,313.08258773390395,10,933,321.67017744,4.07,321.95,-4427.263539047978,1000,predicted,Exp
P17109,308.856060927797,10,556,316.94898417,4.07,318.95,-4352.410667525818,1000,predicted,Exp
P37355,316.66789678249995,10,252,325.24573518527416,7.588735,,-4864.229524899913,1000,predicted,Mean
P37353,314.6101967825,10,451,330.0323685411695,7.588735,,-5361.112209155571,1000,predicted,Mean
P22255,315.30756104301605,10,246,328.75382376,4.07,331.35,-3913.739370482744,1000,predicted,Exp
P0A7J0,315.0422097656652,10,217,325.725325583143,4.07,,-4505.054544907689,1000,experimental,Exp
P77397,315.98199678249995,10,554,329.3366412779271,7.588735,,-4536.966940569824,1000,predicted,Mean
P77589,318.59661778128,10,403,329.01831267060004,7.588735,,-4428.524857350458,1000,BullShit,Mean
P0AFQ5,318.59661778128,10,128,327.37183335465556,7.588735,,-3784.8555183842736,1000,BullShit,Mean
P05194,314.71019151947894,10,252,329.03567819,4.07,329.95,-4415.468641254199,1000,predicted,Exp
P07639,310.925783954829,10,362,325.722059709739,4.07,,-4763.220150654755,1000,predicted,Exp
P75728,318.1864159263853,10,391,327.815620749535,4.07,,-4116.14016142036,1000,BullShit,Exp
P0ABZ4,313.60335222350403,10,188,329.87923344,4.07,330.95,-2435.9916737644817,1000,predicted,Exp
P0AC75,314.3137704253015,10,425,329.957292025793,4.07,,-4067.5493929194654,1000,predicted,Exp
P04951,316.334409380894,10,248,327.65560134,4.07,331.75,-4221.748833733069,1000,predicted,Exp
P0A6Q6,322.6064532028909,10,151,341.072805485167,4.07,,-2501.0238165971496,1000,predicted,Exp
P76083,313.23839678249993,10,475,330.5039331582212,7.588735,,-2958.877437076827,1000,predicted,Mean
P0A6Q3,318.9275160165449,10,172,340.27867245,4.07,343.81666667,-2954.5207468015524,1000,predicted,Exp
P0A6A6,313.9242967825,10,466,330.1343419042812,7.588735,,-4738.462609257375,1000,predicted,Mean
P30126,314.5026962276102,10,201,326.191376082809,4.07,,-3085.6445291884743,1000,predicted,Exp
P30125,314.6220802978,10,363,330.938858,4.07,342.05,-2178.5363482478547,1000,predicted,Exp
P37678,315.98199678249995,10,220,325.8618917128237,7.588735,,-4844.956299434415,1000,predicted,Mean
P39304,314.6101967825,10,216,329.6387090639474,7.588735,,-5095.533991188924,1000,predicted,Mean
P21151,313.23839678249993,10,387,329.9022271583283,7.588735,,-3841.133773256749,1000,predicted,Mean
P76503,313.23839678249993,10,436,329.16122812157823,7.588735,,-3789.2985048095934,1000,predicted,Mean
P31142,316.427614004585,10,281,327.95233685,4.07,329.81666667,-5076.076175417475,1000,predicted,Exp
P31057,323.28890363755573,10,264,354.164019858503,4.07,,-4171.972785216349,1000,predicted,Exp
P0AAB4,320.1561033672542,10,497,344.190125333506,4.07,,-4125.549908075976,1000,predicted,Exp
Q46890,313.23839678249993,10,212,327.4903081177671,7.588735,,-3901.773660817849,1000,predicted,Mean
P0A953,312.741834659046,10,406,320.58532206,4.07,323.05,-3232.009947670173,1000,predicted,Exp
P0AAI5,318.40051241531694,10,413,338.60085137,4.07,341.77857143,-3767.169424479729,1000,predicted,Exp
P0AEK2,314.0150164817745,10,244,324.638750339938,4.07,,-2493.759238200544,1000,predicted,Exp
P0C7L2,314.6101967825,10,401,327.180047555012,7.588735,,-5008.312308352526,1000,predicted,Mean
P0CI31,313.23839678249993,10,270,323.9620140728782,7.588735,,-5271.444634842388,1000,predicted,Mean
P0ABR5,315.98199678249995,10,453,328.22426733989386,7.588735,,-4055.585741681323,1000,predicted,Mean
P0ABW0,317.3537967825,10,106,327.39472019884283,7.588735,,-4609.952925328385,1000,predicted,Mean
P77650,313.9242967825,10,400,323.864592125201,7.588735,,-4847.417497810664,1000,predicted,Mean
Q47140,315.98199678249995,10,172,330.2126046291125,7.588735,,-4072.810810997903,1000,predicted,Mean
P0A6D3,313.432694883044,10,427,324.96851284,4.07,329.95,-3798.420493636498,1000,predicted,Exp
P0A9V8,312.5524967825,10,298,328.19751193163444,7.588735,,-4425.270127324355,1000,predicted,Mean
