,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,317.3388903917492,10,262,328.717325,7.588735,,-2425.254174869372,1000,predicted,Mean
P76077,319.85988803064765,10,309,328.717325,7.588735,,-2634.3011057996255,1000,predicted,Mean
P76078,322.5805835607908,10,95,328.717325,7.588735,,-3376.6184072368187,1000,BullShit,Mean
P76079,318.85148897508833,10,248,328.717325,7.588735,,-3476.005370398024,1000,predicted,Mean
P76081,322.5805835607908,10,356,328.717325,7.588735,,-4682.799039595872,1000,BullShit,Mean
P07762,316.85440371828776,10,728,323.67238268,4.07,326.75,-6627.689390521837,1000,predicted,Exp
P32166,319.71048032191817,10,308,332.483740134755,4.07,,-3260.0213548161064,1000,predicted,Exp
P0ABU0,317.16819945383673,10,285,326.339170763495,4.07,,-5576.690962759418,1000,predicted,Exp
P13016,317.3848079771098,10,183,326.776057243863,4.07,,-4951.241212902521,1000,predicted,Exp
P10371,318.3341067105619,10,245,325.639915022448,4.07,,-3373.1818615988705,1000,predicted,Exp
P26647,317.7251234865129,10,245,327.46245334163,4.07,,-3071.4025270439943,1000,predicted,Exp
P45568,317.109017376523,10,398,328.25368483,4.07,329.35,-2893.970344052571,1000,predicted,Exp
P77488,314.9492925489619,10,620,322.88070819,4.07,325.35,-4491.627270500524,1000,predicted,Exp
P0AEW9,317.4996648601133,10,312,329.041597519637,4.07,,-4566.252667720457,1000,predicted,Exp
P08331,322.9139091064815,10,647,331.82628229,4.07,334.55,-6061.750558645303,1000,predicted,Exp
P0A9D8,326.7352207664472,10,274,342.58446132,4.07,344.27,-4411.802283087427,1000,predicted,Exp
P62707,317.12492137977716,10,250,322.18411989,4.07,323.7,-3331.6223930013894,1000,predicted,Exp
P37689,320.82128675661875,10,514,331.67334932,4.07,336.23571429,-5996.257182681456,1000,predicted,Exp
P76082,319.85988803064765,10,255,328.717325,7.588735,,-3954.8715148492174,1000,predicted,Mean
P15047,320.36408755842746,10,248,328.717325,7.588735,,-2117.869987504888,1000,predicted,Mean
P0ABR9,316.3304913361899,10,314,328.717325,7.588735,,-3709.2857057784563,1000,predicted,Mean
P37674,322.5805835607908,10,157,328.717325,7.588735,,-4206.980964112858,1000,BullShit,Mean
P37675,322.5805835607908,10,425,328.717325,7.588735,,-3014.0991154306175,1000,BullShit,Mean
P37672,318.85148897508833,10,332,328.717325,7.588735,,-5172.20537711529,1000,predicted,Mean
P37676,322.5805835607908,10,328,328.717325,7.588735,,-4521.840723455451,1000,BullShit,Mean
P30863,316.42007238352426,10,267,325.847183449646,4.07,,-3521.2744305615215,1000,predicted,Exp
Q46857,316.03704675078234,10,275,323.04076279,4.07,325.75,-4124.171606921369,1000,predicted,Exp
P77231,317.3388903917492,10,292,328.717325,7.588735,,-3007.2199228906265,1000,predicted,Mean
P62617,318.34728944730864,10,159,328.717325,7.588735,,-4625.770033565256,1000,predicted,Mean
Q46893,322.2001228991008,10,236,338.522141210807,4.07,,-5285.570363663753,1000,predicted,Exp
P0AB77,317.08126239391584,10,398,327.18076429,4.07,331.45,-3025.342891891433,1000,predicted,Exp
P26281,312.29689511395236,10,159,328.717325,7.588735,,-4039.2274480002443,1000,experimental,Mean
Q6BF16,319.355688502868,10,205,328.717325,7.588735,,-2273.7313940797994,1000,predicted,Mean
P31459,318.34728944730864,10,292,328.717325,7.588735,,-3969.4969243712653,1000,predicted,Mean
P37647,319.4305516315101,10,309,328.868319468212,4.07,,-3914.983157696727,1000,predicted,Exp
P0A715,314.34964153077976,10,284,319.63736704,4.07,320.95,-7056.783158692552,1000,predicted,Exp
P0A9J4,317.8820829244868,10,303,327.779031172367,4.07,,-3631.2325842299924,1000,predicted,Exp
P0ABQ2,320.78936071225985,10,294,332.625896785931,4.07,,-2336.4616025529067,1000,predicted,Exp
P77161,317.3388903917492,10,292,328.717325,7.588735,,-3181.85538369897,1000,predicted,Mean
P77044,317.3388903917492,10,288,328.717325,7.588735,,-1408.5210328894586,1000,predicted,Mean
P30140,318.34728944730864,10,377,328.717325,7.588735,,-2727.4712305323055,1000,predicted,Mean
P09151,315.8004792122722,10,523,323.58056056,4.07,327.21666667,-3968.2850034521425,1000,predicted,Exp
P0A712,322.5805835607908,10,327,328.717325,7.588735,,-3744.6800640174993,1000,BullShit,Mean
P77608,316.3304913361899,10,269,328.717325,7.588735,,-3119.438074648161,1000,predicted,Mean
P77243,317.98037986344553,10,483,327.977290239202,4.07,,-3270.621787350904,1000,predicted,Exp
P31660,314.9051794990284,10,389,324.825615586533,4.07,,-4221.9271963309675,1000,predicted,Exp
P77541,317.8375818521284,10,296,326.672334767499,4.07,,-4155.6483762971775,1000,predicted,Exp
P25534,322.5805835607908,10,392,328.717325,7.588735,,-3022.6149877765756,1000,BullShit,Mean
P0AFG3,315.3575098870341,10,933,321.67017744,4.07,321.95,-3023.2060706058564,1000,predicted,Exp
P17109,310.99994192320605,10,556,316.94898417,4.07,318.95,-5170.182504518129,1000,predicted,Exp
P37355,319.85988803064765,10,252,328.717325,7.588735,,-5445.838960753642,1000,predicted,Mean
P37353,318.34728944730864,10,451,328.717325,7.588735,,-2910.0334595794116,1000,predicted,Mean
P22255,318.86958507753184,10,246,328.75382376,4.07,331.35,-3066.622854571143,1000,predicted,Exp
P0A7J0,317.8722537791074,10,217,325.725325583143,4.07,,-5317.601188339324,1000,experimental,Exp
P77397,319.355688502868,10,554,328.717325,7.588735,,-3650.034601845898,1000,predicted,Mean
P77589,322.5805835607908,10,403,328.717325,7.588735,,-3322.806927891298,1000,BullShit,Mean
P0AFQ5,322.5805835607908,10,128,328.717325,7.588735,,-4438.785799716125,1000,BullShit,Mean
P05194,318.5051291092434,10,252,329.03567819,4.07,329.95,-4841.293687179818,1000,predicted,Exp
P07639,314.84543739085336,10,362,325.722059709739,4.07,,-3266.0045826838927,1000,predicted,Exp
P75728,321.97690424605236,10,391,327.815620749535,4.07,,-5396.380577768306,1000,BullShit,Exp
P0ABZ4,317.91496514497805,10,188,329.87923344,4.07,330.95,-3967.9059741261426,1000,predicted,Exp
P0AC75,318.45786615645466,10,425,329.957292025793,4.07,,-4040.4266767268105,1000,predicted,Exp
P04951,319.3334849386522,10,248,327.65560134,4.07,331.75,-5403.798197213853,1000,predicted,Exp
P0A6Q6,327.4983396730414,10,151,341.072805485167,4.07,,-5088.66840987826,1000,predicted,Exp
P76083,317.3388903917492,10,475,328.717325,7.588735,,-3906.67170199712,1000,predicted,Mean
P0A6Q3,324.58361050030146,10,172,340.27867245,4.07,343.81666667,-1479.7694236647385,1000,predicted,Exp
P0A6A6,317.84308991952895,10,466,328.717325,7.588735,,-4361.593934278075,1000,predicted,Mean
P30126,317.59912230914057,10,201,326.191376082809,4.07,,-3496.7957720471954,1000,predicted,Exp
P30125,318.94452702998194,10,363,330.938858,4.07,342.05,-2296.5457847049984,1000,predicted,Exp
P37678,319.355688502868,10,220,328.717325,7.588735,,-5190.123425936835,1000,predicted,Mean
P39304,318.34728944730864,10,216,328.717325,7.588735,,-4440.388689193788,1000,predicted,Mean
P21151,317.3388903917492,10,387,328.717325,7.588735,,-5164.09391396838,1000,predicted,Mean
P76503,317.3388903917492,10,436,328.717325,7.588735,,-5219.627740778219,1000,predicted,Mean
P31142,319.4806065446348,10,281,327.95233685,4.07,329.81666667,-4525.303700351722,1000,predicted,Exp
P31057,331.4679723023803,10,264,354.164019858503,4.07,,-4911.071792034209,1000,predicted,Exp
P0AAB4,326.5229106870112,10,497,344.190125333506,4.07,,-2016.305195597019,1000,predicted,Exp
Q46890,317.3388903917492,10,212,328.717325,7.588735,,-3471.379498468724,1000,predicted,Mean
P0A953,314.81963807733933,10,406,320.58532206,4.07,323.05,-3145.303341200455,1000,predicted,Exp
P0AAI5,323.75174601653623,10,413,338.60085137,4.07,341.77857143,-4222.84817382815,1000,predicted,Exp
P0AEK2,316.8293297326438,10,244,324.638750339938,4.07,,-2635.020752317022,1000,predicted,Exp
P0C7L2,318.34728944730864,10,401,328.717325,7.588735,,-4217.980910743702,1000,predicted,Mean
P0CI31,317.3388903917492,10,270,328.717325,7.588735,,-5538.193235226237,1000,predicted,Mean
P0ABR5,319.355688502868,10,453,328.717325,7.588735,,-3419.836629226448,1000,predicted,Mean
P0ABW0,320.36408755842746,10,106,328.717325,7.588735,,-4255.312448033551,1000,predicted,Mean
P77650,317.84308991952895,10,400,328.717325,7.588735,,-2766.097613438731,1000,predicted,Mean
Q47140,319.355688502868,10,172,328.717325,7.588735,,-3299.062359270278,1000,predicted,Mean
P0A6D3,316.48862660811534,10,427,324.96851284,4.07,329.95,-3420.2844616699995,1000,predicted,Exp
P0A9V8,316.83469086396957,10,298,328.717325,7.588735,,-4139.130549297943,1000,predicted,Mean
P37623,317.3388903917492,10,195,328.717325,7.588735,,-3645.425445482692,1000,predicted,Mean
P15977,317.05168826312934,10,694,325.087234242121,4.07,,-2922.7360376409442,1000,predicted,Exp
P22256,325.7788193307924,10,426,342.68933742,4.07,344.68333333,-3848.552841123074,1000,predicted,Exp
P50457,315.27549534636813,10,421,321.504759,4.07,322.55,-4182.918227952934,1000,predicted,Exp
