,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,313.23839678249993,10,262,328.717325,7.588735,,-4203.1334685861275,1000,predicted,Mean
P76077,316.66789678249995,10,309,328.717325,7.588735,,-4685.680693407797,1000,predicted,Mean
P76078,318.59661778128,10,95,328.717325,7.588735,,-4238.2795940999895,1000,BullShit,Mean
P76079,315.2960967825,10,248,328.717325,7.588735,,-3013.384454676914,1000,predicted,Mean
P76081,318.59661778128,10,356,328.717325,7.588735,,-3714.540346572846,1000,BullShit,Mean
P07762,314.397380399788,10,728,323.67238268,4.07,326.75,-4637.058539237888,1000,predicted,Exp
P32166,315.10732777632654,10,308,332.483740134755,4.07,,-4076.807470727563,1000,predicted,Exp
P0ABU0,313.86321853681375,10,285,326.339170763495,4.07,,-3435.6114416163673,1000,predicted,Exp
P13016,314.0004445802973,10,183,326.776057243863,4.07,,-5386.657231049096,1000,predicted,Exp
P10371,315.7012823085509,10,245,325.639915022448,4.07,,-3000.558752884768,1000,predicted,Exp
P26647,314.21604159460594,10,245,327.46245334163,4.07,,-3580.873769774021,1000,predicted,Exp
P45568,313.092767405103,10,398,328.25368483,4.07,329.35,-4078.1783292874297,1000,predicted,Exp
P77488,312.091015442479,10,620,322.88070819,4.07,325.35,-3236.851146733058,1000,predicted,Exp
P0AEW9,313.3402507809179,10,312,329.041597519637,4.07,,-2982.20268651505,1000,predicted,Exp
P08331,319.702120267289,10,647,331.82628229,4.07,334.55,-5834.131492655348,1000,predicted,Exp
P0A9D8,321.02356430061207,10,274,342.58446132,4.07,344.27,-3882.1186738932024,1000,predicted,Exp
P62707,315.30171705744897,10,250,322.18411989,4.07,323.7,-3234.3136315479314,1000,predicted,Exp
P37689,316.910484021412,10,514,331.67334932,4.07,336.23571429,-4923.324163485898,1000,predicted,Exp
P76082,316.66789678249995,10,255,328.717325,7.588735,,-1908.8894030445335,1000,predicted,Mean
P15047,317.3537967825,10,248,328.717325,7.588735,,-2992.3409619870877,1000,predicted,Mean
P0ABR9,311.8665967825,10,314,328.717325,7.588735,,-5046.037389542366,1000,predicted,Mean
P37674,318.59661778128,10,157,328.717325,7.588735,,-3110.706855039742,1000,BullShit,Mean
P37675,318.59661778128,10,425,328.717325,7.588735,,-4831.453768894888,1000,BullShit,Mean
P37672,315.2960967825,10,332,328.717325,7.588735,,-2429.1133133897583,1000,predicted,Mean
P37676,318.59661778128,10,328,328.717325,7.588735,,-3301.157189972101,1000,BullShit,Mean
P30863,313.0227853215338,10,267,325.847183449646,4.07,,-3074.243677301036,1000,predicted,Exp
Q46857,313.51308859233893,10,275,323.04076279,4.07,325.75,-2663.1916324657122,1000,predicted,Exp
P77231,313.23839678249993,10,292,328.717325,7.588735,,-6434.875419096008,1000,predicted,Mean
P62617,314.6101967825,10,159,328.717325,7.588735,,-5234.580526959555,1000,predicted,Mean
Q46893,316.3180895543145,10,236,338.522141210807,4.07,,-3776.3996161338678,1000,predicted,Exp
P0AB77,313.441663063489,10,398,327.18076429,4.07,331.45,-4078.1821168997144,1000,predicted,Exp
P26281,306.37939678249995,10,159,328.717325,7.588735,,-3783.0970020144873,1000,experimental,Mean
Q6BF16,315.98199678249995,10,205,328.717325,7.588735,,-1835.176383944448,1000,predicted,Mean
P31459,314.6101967825,10,292,328.717325,7.588735,,-3354.927504363315,1000,predicted,Mean
P37647,316.0294241449654,10,309,328.868319468212,4.07,,-3804.381002479326,1000,predicted,Exp
P0A715,312.444081987264,10,284,319.63736704,4.07,320.95,-4994.012158540667,1000,predicted,Exp
P0A9J4,314.31547869124046,10,303,327.779031172367,4.07,,-3891.4347523774763,1000,predicted,Exp
P0ABQ2,316.5237791804609,10,294,332.625896785931,4.07,,-2567.4204848578056,1000,predicted,Exp
P77161,313.23839678249993,10,292,328.717325,7.588735,,-5064.202016748106,1000,predicted,Mean
P77044,313.23839678249993,10,288,328.717325,7.588735,,-4577.376898097542,1000,predicted,Mean
P30140,314.6101967825,10,377,328.717325,7.588735,,-4809.180774676509,1000,predicted,Mean
P09151,312.996739071896,10,523,323.58056056,4.07,327.21666667,-3202.849632064987,1000,predicted,Exp
P0A712,318.59661778128,10,327,328.717325,7.588735,,-4195.666012058546,1000,BullShit,Mean
P77608,311.8665967825,10,269,328.717325,7.588735,,-4881.704210752432,1000,predicted,Mean
P77243,314.37775186413336,10,483,327.977290239202,4.07,,-4055.329323581628,1000,predicted,Exp
P31660,311.33011085573,10,389,324.825615586533,4.07,,-5833.287608033077,1000,predicted,Exp
P77541,314.6537653504714,10,296,326.672334767499,4.07,,-4511.545012446144,1000,predicted,Exp
P25534,318.59661778128,10,392,328.717325,7.588735,,-3622.2601886738694,1000,BullShit,Mean
P0AFG3,313.08258773390395,10,933,321.67017744,4.07,321.95,-3719.5698966933055,1000,predicted,Exp
P17109,308.856060927797,10,556,316.94898417,4.07,318.95,-4997.859863206922,1000,predicted,Exp
P37355,316.66789678249995,10,252,328.717325,7.588735,,-5562.252770993254,1000,predicted,Mean
P37353,314.6101967825,10,451,328.717325,7.588735,,-5853.808001944235,1000,predicted,Mean
P22255,315.30756104301605,10,246,328.75382376,4.07,331.35,-5066.904348446988,1000,predicted,Exp
P0A7J0,315.0422097656652,10,217,325.725325583143,4.07,,-3761.4300505173123,1000,experimental,Exp
P77397,315.98199678249995,10,554,328.717325,7.588735,,-4834.2277296513175,1000,predicted,Mean
P77589,318.59661778128,10,403,328.717325,7.588735,,-4004.703594154333,1000,BullShit,Mean
