,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,306.15,10,262,328.55994999487507,7.588735,,-4000,1000,predicted,Mean
P76077,311.15,10,309,339.70753177110385,7.588735,,-4000,1000,predicted,Mean
P76078,310.15,10,95,337.29128753832936,7.588735,,-4000,1000,BullShit,Mean
P76079,309.15,10,248,310.00304055884476,7.588735,,-4000,1000,predicted,Mean
P76081,310.15,10,356,330.6800006224711,7.588735,,-4000,1000,BullShit,Mean
P07762,310.15,10,728,323.67238268,4.07,326.75,-4000,1000,predicted,Exp
P32166,307.15,10,308,332.483740134755,4.07,,-4000,1000,predicted,Exp
P0ABU0,308.15,10,285,326.339170763495,4.07,,-4000,1000,predicted,Exp
P13016,308.15,10,183,326.776057243863,4.07,,-4000,1000,predicted,Exp
P10371,311.15,10,245,325.639915022448,4.07,,-4000,1000,predicted,Exp
P26647,308.15,10,245,327.46245334163,4.07,,-4000,1000,predicted,Exp
P45568,306.15,10,398,328.25368483,4.07,329.35,-4000,1000,predicted,Exp
P77488,307.15,10,620,322.88070819,4.07,325.35,-4000,1000,predicted,Exp
P0AEW9,306.15,10,312,329.041597519637,4.07,,-4000,1000,predicted,Exp
P08331,314.15,10,647,331.82628229,4.07,334.55,-4000,1000,predicted,Exp
P0A9D8,311.15,10,274,342.58446132,4.07,344.27,-4000,1000,predicted,Exp
P62707,312.15,10,250,322.18411989,4.07,323.7,-4000,1000,predicted,Exp
P37689,310.15,10,514,331.67334932,4.07,336.23571429,-4000,1000,predicted,Exp
P76082,311.15,10,255,332.12510484542355,7.588735,,-4000,1000,predicted,Mean
P15047,312.15,10,248,335.656452728831,7.588735,,-4000,1000,predicted,Mean
P0ABR9,304.15,10,314,328.99543132797896,7.588735,,-4000,1000,predicted,Mean
P37674,310.15,10,157,332.88027324311594,7.588735,,-4000,1000,BullShit,Mean
P37675,310.15,10,425,334.33092282852147,7.588735,,-4000,1000,BullShit,Mean
P37672,309.15,10,332,341.1309671861642,7.588735,,-4000,1000,predicted,Mean
P37676,310.15,10,328,327.5415692052721,7.588735,,-4000,1000,BullShit,Mean
P30863,307.15,10,267,325.847183449646,4.07,,-4000,1000,predicted,Exp
Q46857,309.15,10,275,323.04076279,4.07,325.75,-4000,1000,predicted,Exp
P77231,306.15,10,292,338.7058241723664,7.588735,,-4000,1000,predicted,Mean
P62617,308.15,10,159,320.5627298690376,7.588735,,-4000,1000,predicted,Mean
Q46893,306.15,10,236,338.522141210807,4.07,,-4000,1000,predicted,Exp
P0AB77,307.15,10,398,327.18076429,4.07,331.45,-4000,1000,predicted,Exp
P26281,296.15,10,159,323.9800839883757,7.588735,,-4000,1000,experimental,Mean
Q6BF16,310.15,10,205,329.4329807917148,7.588735,,-4000,1000,predicted,Mean
P31459,308.15,10,292,328.51300356253586,7.588735,,-4000,1000,predicted,Mean
P37647,310.15,10,309,328.868319468212,4.07,,-4000,1000,predicted,Exp
P0A715,309.15,10,284,319.63736704,4.07,320.95,-4000,1000,predicted,Exp
P0A9J4,308.15,10,303,327.779031172367,4.07,,-4000,1000,predicted,Exp
P0ABQ2,309.15,10,294,332.625896785931,4.07,,-4000,1000,predicted,Exp
P77161,306.15,10,292,332.6440910822791,7.588735,,-4000,1000,predicted,Mean
P77044,306.15,10,288,323.7941498259671,7.588735,,-4000,1000,predicted,Mean
P30140,308.15,10,377,328.4943096516828,7.588735,,-4000,1000,predicted,Mean
P09151,308.15,10,523,323.58056056,4.07,327.21666667,-4000,1000,predicted,Exp
P0A712,310.15,10,327,326.0001508876064,7.588735,,-4000,1000,BullShit,Mean
P77608,304.15,10,269,333.63682116915544,7.588735,,-4000,1000,predicted,Mean
P77243,308.15,10,483,327.977290239202,4.07,,-4000,1000,predicted,Exp
P31660,305.15,10,389,324.825615586533,4.07,,-4000,1000,predicted,Exp
P77541,309.15,10,296,326.672334767499,4.07,,-4000,1000,predicted,Exp
P25534,310.15,10,392,338.41341093024346,7.588735,,-4000,1000,BullShit,Mean
P0AFG3,309.15,10,933,321.67017744,4.07,321.95,-4000,1000,predicted,Exp
P17109,305.15,10,556,316.94898417,4.07,318.95,-4000,1000,predicted,Exp
P37355,311.15,10,252,329.69235731736035,7.588735,,-4000,1000,predicted,Mean
P37353,308.15,10,451,328.1198319644605,7.588735,,-4000,1000,predicted,Mean
P22255,309.15,10,246,328.75382376,4.07,331.35,-4000,1000,predicted,Exp
P0A7J0,310.15,10,217,325.725325583143,4.07,,-4000,1000,experimental,Exp
P77397,310.15,10,554,332.62826421252146,7.588735,,-4000,1000,predicted,Mean
P77589,310.15,10,403,345.39176397614506,7.588735,,-4000,1000,BullShit,Mean
P0AFQ5,310.15,10,128,318.940670588522,7.588735,,-4000,1000,BullShit,Mean
P05194,308.15,10,252,329.03567819,4.07,329.95,-4000,1000,predicted,Exp
P07639,304.15,10,362,325.722059709739,4.07,,-4000,1000,predicted,Exp
P75728,310.15,10,391,327.815620749535,4.07,,-4000,1000,BullShit,Exp
P0ABZ4,306.15,10,188,329.87923344,4.07,330.95,-4000,1000,predicted,Exp
P0AC75,307.15,10,425,329.957292025793,4.07,,-4000,1000,predicted,Exp
P04951,311.15,10,248,327.65560134,4.07,331.75,-4000,1000,predicted,Exp
P0A6Q6,314.15,10,151,341.072805485167,4.07,,-4000,1000,predicted,Exp
P76083,306.15,10,475,321.3908084216678,7.588735,,-4000,1000,predicted,Mean
P0A6Q3,309.15,10,172,340.27867245,4.07,343.81666667,-4000,1000,predicted,Exp
P0A6A6,307.15,10,466,334.2101448033997,7.588735,,-4000,1000,predicted,Mean
P30126,309.15,10,201,326.191376082809,4.07,,-4000,1000,predicted,Exp
P30125,307.15,10,363,330.938858,4.07,342.05,-4000,1000,predicted,Exp
