,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.3980654834843,10,262,323.1218305485372,7.588735,,-3736.232490229124,1000,predicted,Mean
P76077,316.0137486706844,10,309,327.4128790139373,7.588735,,-2890.036416050633,1000,predicted,Mean
P76078,318.660395498243,10,95,332.94917859734755,7.588735,,-2676.01200025353,1000,BullShit,Mean
P76079,314.5674753958044,10,248,331.2603737615441,7.588735,,-4321.560321851851,1000,predicted,Mean
P76081,318.660395498243,10,356,325.20936922434754,7.588735,,-3631.714495089122,1000,BullShit,Mean
P07762,313.8938523386079,10,728,323.00001028093743,4.07,326.75,-4914.018291742854,1000,predicted,Exp
P32166,314.1639844799296,10,308,332.45455145467724,4.07,,-2131.5738575447594,1000,predicted,Exp
P0ABU0,313.1859149797593,10,285,323.8500526799446,4.07,,-3297.113245482988,1000,predicted,Exp
P13016,313.30687283977096,10,183,329.3289458701389,4.07,,-2915.472492763895,1000,predicted,Exp
P10371,315.1617265963236,10,245,329.74364733042006,4.07,,-4433.389140027023,1000,predicted,Exp
P26647,313.4969107714468,10,245,324.09778462581704,4.07,,-4288.526156410813,1000,predicted,Exp
P45568,312.2697005070002,10,398,329.03532271341487,4.07,329.35,-4711.434331777154,1000,predicted,Exp
P77488,311.5052567649335,10,620,320.496990312391,4.07,325.35,-3893.480078479428,1000,predicted,Exp
P0AEW9,312.4878446636568,10,312,329.3376967308758,4.07,,-3003.8701786066413,1000,predicted,Exp
P08331,319.0439149523692,10,647,331.42593532857774,4.07,334.55,-4505.983372656887,1000,predicted,Exp
P0A9D8,319.85305066131747,10,274,346.1057645185741,4.07,344.27,-3090.3636226273707,1000,predicted,Exp
P62707,314.9280801730756,10,250,320.9032089018475,4.07,323.7,-4011.4632791686768,1000,predicted,Exp
P37689,316.1090268662887,10,514,330.38491184040254,4.07,336.23571429,-5573.228891760928,1000,predicted,Exp
P76082,316.0137486706844,10,255,324.8430398368708,7.588735,,-4145.144625365306,1000,predicted,Mean
P15047,316.7368853081244,10,248,323.4154610899789,7.588735,,-4804.128765732182,1000,predicted,Mean
P0ABR9,310.9517922086044,10,314,332.8258071317321,7.588735,,-4929.666932547987,1000,predicted,Mean
P37674,318.660395498243,10,157,334.879464442716,7.588735,,-3997.9240456080074,1000,BullShit,Mean
P37675,318.660395498243,10,425,333.7169259863919,7.588735,,-3020.929502925989,1000,BullShit,Mean
P37672,314.5674753958044,10,332,325.38534328728883,7.588735,,-4588.861556373848,1000,predicted,Mean
P37676,318.660395498243,10,328,325.7175721757366,7.588735,,-3331.720278938265,1000,BullShit,Mean
P30863,312.32656508027014,10,267,327.89060969339806,4.07,,-2793.853697565215,1000,predicted,Exp
Q46857,312.99584329456263,10,275,317.9905566635545,4.07,325.75,-3919.943774364546,1000,predicted,Exp
P77231,312.3980654834843,10,292,341.80919314617654,7.588735,,-2459.8518468995712,1000,predicted,Mean
