,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.7244506738146,10,262,328.717325,7.588735,,-5849.700002515311,1000,predicted,Mean
P76077,316.2678201972707,10,309,328.717325,7.588735,,-3333.310184023674,1000,predicted,Mean
P76078,319.16324197333086,10,95,328.717325,7.588735,,-3721.116716039351,1000,BullShit,Mean
P76079,314.8504723878883,10,248,328.717325,7.588735,,-4285.106359147171,1000,predicted,Mean
P76081,319.16324197333086,10,356,328.717325,7.588735,,-4563.416486022285,1000,BullShit,Mean
P07762,314.0894229454358,10,728,323.67238268,4.07,326.75,-3495.0168409831126,1000,predicted,Exp
P32166,314.5303795930261,10,308,332.483740134755,4.07,,-3585.4631322996665,1000,predicted,Exp
P0ABU0,313.44898009543397,10,285,326.339170763495,4.07,,-2663.486125064033,1000,predicted,Exp
P13016,313.5762565278528,10,183,326.776057243863,4.07,,-4507.416514405832,1000,predicted,Exp
P10371,315.3712903648461,10,245,325.639915022448,4.07,,-3956.08580384966,1000,predicted,Exp
P26647,313.77622162285047,10,245,327.46245334163,4.07,,-3688.14854527859,1000,predicted,Exp
P45568,312.5893801934602,10,398,328.25368483,4.07,329.35,-1969.1897458038193,1000,predicted,Exp
P77488,311.73276579343485,10,620,322.88070819,4.07,325.35,-4166.336153776153,1000,predicted,Exp
P0AEW9,312.8189197207764,10,312,329.041597519637,4.07,,-4272.369600731356,1000,predicted,Exp
P08331,319.2995622991218,10,647,331.82628229,4.07,334.55,-5446.301697580068,1000,predicted,Exp
P0A9D8,320.3076788744911,10,274,342.58446132,4.07,344.27,-2145.9612520786986,1000,predicted,Exp
P62707,315.0732009674141,10,250,322.18411989,4.07,323.7,-3267.604343474585,1000,predicted,Exp
P37689,316.4203133153629,10,514,331.67334932,4.07,336.23571429,-2311.5021321226895,1000,predicted,Exp
P76082,316.2678201972707,10,255,328.717325,7.588735,,-3569.230264320157,1000,predicted,Mean
P15047,316.97649410196186,10,248,328.717325,7.588735,,-4768.917188064112,1000,predicted,Mean
P0ABR9,311.3071028644323,10,314,328.717325,7.588735,,-3432.431271958687,1000,predicted,Mean
P37674,319.16324197333086,10,157,328.717325,7.588735,,-3942.8973382099066,1000,BullShit,Mean
P37675,319.16324197333086,10,425,328.717325,7.588735,,-3137.512829180069,1000,BullShit,Mean
P37672,314.8504723878883,10,332,328.717325,7.588735,,-3921.1311795934635,1000,predicted,Mean
P37676,319.16324197333086,10,328,328.717325,7.588735,,-4562.511975003803,1000,BullShit,Mean
P30863,312.59697744765765,10,267,325.847183449646,4.07,,-3623.879055002691,1000,predicted,Exp
Q46857,313.19674168447136,10,275,323.04076279,4.07,325.75,-4946.205134214991,1000,predicted,Exp
P77231,312.7244506738146,10,292,328.717325,7.588735,,-5516.319901643095,1000,predicted,Mean
P62617,314.14179848319714,10,159,328.717325,7.588735,,-5659.8466760454985,1000,predicted,Mean
Q46893,315.58084949572947,10,236,338.522141210807,4.07,,-3480.8614107884187,1000,predicted,Exp
P0AB77,312.9854843466566,10,398,327.18076429,4.07,331.45,-4971.138956112329,1000,predicted,Exp
P26281,305.63771162690267,10,159,328.717325,7.588735,,-4243.291288724309,1000,experimental,Mean
Q6BF16,315.55914629257944,10,205,328.717325,7.588735,,-2746.5693194372184,1000,predicted,Mean
P31459,314.14179848319714,10,292,328.717325,7.588735,,-4172.192314272793,1000,predicted,Mean
P37647,315.6031349214169,10,309,328.868319468212,4.07,,-4418.811801020934,1000,predicted,Exp
P0A715,312.20524368983337,10,284,319.63736704,4.07,320.95,-3564.3362677857017,1000,predicted,Exp
P0A9J4,313.8684490061404,10,303,327.779031172367,4.07,,-3879.352881576918,1000,predicted,Exp
P0ABQ2,315.9891413445177,10,294,332.625896785931,4.07,,-4371.095036438465,1000,predicted,Exp
P77161,312.7244506738146,10,292,328.717325,7.588735,,-4871.899270466328,1000,predicted,Mean
P77044,312.7244506738146,10,288,328.717325,7.588735,,-4641.383397474178,1000,predicted,Mean
P30140,314.14179848319714,10,377,328.717325,7.588735,,-3429.782033273776,1000,predicted,Mean
P09151,312.64532495637076,10,523,323.58056056,4.07,327.21666667,-1971.083068281344,1000,predicted,Exp
P0A712,319.16324197333086,10,327,328.717325,7.588735,,-4704.149776759698,1000,BullShit,Mean
P77608,311.3071028644323,10,269,328.717325,7.588735,,-5330.648325150034,1000,predicted,Mean
P77243,313.92620704594094,10,483,327.977290239202,4.07,,-5207.64865358339,1000,predicted,Exp
P31660,310.88202026162156,10,389,324.825615586533,4.07,,-3233.3861011040467,1000,predicted,Exp
P77541,314.25471336850904,10,296,326.672334767499,4.07,,-5113.364873785739,1000,predicted,Exp
P25534,319.16324197333086,10,392,328.717325,7.588735,,-5491.333217205526,1000,BullShit,Mean
P0AFG3,312.7974544061685,10,933,321.67017744,4.07,321.95,-3134.897190157034,1000,predicted,Exp
