,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.42371634999995,10,262,327.05623285770355,7.588735,,-4869.322310644281,1000,predicted,Mean
P76077,316.03371634999996,10,309,323.437855302242,7.588735,,-4394.029044678219,1000,predicted,Mean
P76078,317.716556284,10,95,325.7052248084171,7.588735,,-3564.291938935012,1000,BullShit,Mean
P76079,314.58971635,10,248,327.1260375890355,7.588735,,-6093.643058944808,1000,predicted,Mean
P76081,317.716556284,10,356,326.8729728059724,7.588735,,-5349.446855192252,1000,BullShit,Mean
P07762,313.90922238504,10,728,324.03528417027366,4.07,326.75,-5585.172655138743,1000,predicted,Exp
P32166,314.1927797574619,10,308,333.956997038883,4.07,,-3815.251542865614,1000,predicted,Exp
P0ABU0,313.20658947225155,10,285,322.41414732155454,4.07,,-3504.2099567061246,1000,predicted,Exp
P13016,313.32804391379386,10,183,326.4052108985554,4.07,,-2199.0785317865693,1000,predicted,Exp
P10371,315.1781963762405,10,245,326.2431773379162,4.07,,-3785.9854286996315,1000,predicted,Exp
P26647,313.5188620289731,10,245,324.1949555937898,4.07,,-4312.891360554259,1000,predicted,Exp
P45568,312.29482438274,10,398,331.26756182967586,4.07,329.35,-4187.508621655648,1000,predicted,Exp
P77488,311.52313687682,10,620,320.9351123316271,4.07,325.35,-2941.3974246929147,1000,predicted,Exp
P0AEW9,312.51386411045905,10,312,329.9631793759301,4.07,,-4165.23463599571,1000,predicted,Exp
P08331,319.06400647661997,10,647,333.1497924591065,4.07,334.55,-5401.269508924695,1000,predicted,Exp
P0A9D8,319.88878024696004,10,274,341.535178145063,4.07,344.27,-6168.47402603257,1000,predicted,Exp
P62707,314.93948532942,10,250,323.9757992058515,4.07,323.7,-3899.7840454629513,1000,predicted,Exp
P37689,316.13349111096,10,514,332.1541441080438,4.07,336.23571429,-3198.3551924022854,1000,predicted,Exp
P76082,316.03371634999996,10,255,321.57578061530626,7.588735,,-2954.5896190916,1000,predicted,Mean
P15047,316.75571635,10,248,318.6814489108102,7.588735,,-1234.7855474307885,1000,predicted,Mean
P0ABR9,310.97971635,10,314,328.6844730201849,7.588735,,-4319.220612892448,1000,predicted,Mean
P37674,317.716556284,10,157,345.902738680361,7.588735,,-4520.762579400168,1000,BullShit,Mean
P37675,317.716556284,10,425,335.1763399032402,7.588735,,-3738.383952025185,1000,BullShit,Mean
P37672,314.58971635,10,332,325.2748863671629,7.588735,,-5319.958017010094,1000,predicted,Mean
P37676,317.716556284,10,328,351.4473636793161,7.588735,,-5410.793096854398,1000,BullShit,Mean
P30863,312.34781699900157,10,267,320.6216374438578,4.07,,-4670.81674935051,1000,predicted,Exp
Q46857,313.01163205561994,10,275,322.3341453418208,4.07,325.75,-2637.1271495390674,1000,predicted,Exp
P77231,312.42371634999995,10,292,322.9833051043274,7.588735,,-3386.8656258469196,1000,predicted,Mean
P62617,313.86771635,10,159,330.4116905167781,7.588735,,-1958.4418612627696,1000,predicted,Mean
Q46893,315.14945525660437,10,236,339.588851827412,4.07,,-3439.9535428681893,1000,predicted,Exp
P0AB77,312.71855247262,10,398,326.36643892420483,4.07,331.45,-3483.3619138442095,1000,predicted,Exp
P26281,305.20371635,10,159,332.1958980451595,7.588735,,-1841.617204303183,1000,experimental,Mean
Q6BF16,315.3117163499999,10,205,336.3606002613132,7.588735,,-3589.379229706453,1000,predicted,Mean
P31459,313.86771635,10,292,326.1976897523296,7.588735,,-3681.643034905386,1000,predicted,Mean
P37647,315.35369281216293,10,309,329.45963646943216,4.07,,-3747.9562240640275,1000,predicted,Exp
P0A715,312.06548803711996,10,284,319.63736704,4.07,320.95,-2678.9557732521525,1000,predicted,Exp
P0A9J4,313.606870665918,10,303,328.9526404069328,4.07,,-3455.1422351602,1000,predicted,Exp
P0ABQ2,315.6762993064888,10,294,334.094390187572,4.07,,-3800.1465906974067,1000,predicted,Exp
P77161,312.42371634999995,10,292,337.50102032281245,7.588735,,-4044.1734219047657,1000,predicted,Mean
P77044,312.42371634999995,10,288,319.76989646905776,7.588735,,-3982.0421610662784,1000,predicted,Mean
P30140,313.86771635,10,377,330.44782510889894,7.588735,,-4389.331427359822,1000,predicted,Mean
P09151,312.43969583568,10,523,327.67377905403254,4.07,327.21666667,-3085.6556461809114,1000,predicted,Exp
P0A712,317.716556284,10,327,333.85211603088237,7.588735,,-4096.543064848014,1000,BullShit,Mean
P77608,310.97971635,10,269,327.9263348582162,7.588735,,-3249.1376002511934,1000,predicted,Mean
P77243,313.66198668649815,10,483,327.91603832454564,4.07,,-2709.2547349595684,1000,predicted,Exp
P31660,310.6198211330562,10,389,323.525404354417,4.07,,-5137.237191794913,1000,predicted,Exp
P77541,314.0212090653647,10,296,327.1119946188351,4.07,,-4876.549612498393,1000,predicted,Exp
P25534,317.716556284,10,392,329.63653341212705,7.588735,,-3911.5624466303198,1000,BullShit,Mean
P0AFG3,312.63060932831996,10,933,323.02639770061796,4.07,321.95,-4246.305438766646,1000,predicted,Exp
P17109,308.43011759926,10,556,316.94898417,4.07,318.95,-4592.799611508788,1000,predicted,Exp
P37355,316.03371634999996,10,252,335.82868523918944,7.588735,,-5019.21301598226,1000,predicted,Mean
P37353,313.86771635,10,451,337.7520126124541,7.588735,,-3383.366113493314,1000,predicted,Mean
P22255,314.59986300528004,10,246,327.49961679466554,4.07,331.35,-4537.895245020933,1000,predicted,Exp
P0A7J0,314.4799405121137,10,217,330.76937045817886,4.07,,-3420.009449531902,1000,experimental,Exp
P77397,315.3117163499999,10,554,330.98754729983904,7.588735,,-5160.086591022198,1000,predicted,Mean
P77589,317.716556284,10,403,332.4303603505898,7.588735,,-5346.2303505675,1000,BullShit,Mean
P0AFQ5,317.716556284,10,128,334.2811534611967,7.588735,,-3864.851693340561,1000,BullShit,Mean
P05194,313.95621853681996,10,252,332.08335003730764,4.07,329.95,-2395.075052389822,1000,predicted,Exp
P07639,310.1470325993074,10,362,329.3793983991925,4.07,,-4203.841972936738,1000,predicted,Exp
P75728,317.3490937678505,10,391,326.8773021686225,4.07,,-3584.2728501844167,1000,BullShit,Exp
P0ABZ4,312.74672689632,10,188,326.1727305843029,4.07,330.95,-4759.664912787153,1000,predicted,Exp
P0AC75,313.4904271831704,10,425,330.1990857510193,4.07,,-4050.1006766915193,1000,predicted,Exp
P04951,315.73855717251996,10,248,327.9193104429113,4.07,331.75,-2215.071575396516,1000,predicted,Exp
P0A6Q6,321.6345399248764,10,151,341.0471487189765,4.07,,-3881.4725060288433,1000,predicted,Exp
P76083,312.42371634999995,10,475,318.73875286570524,7.588735,,-3837.028077939032,1000,predicted,Mean
