,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.42371634999995,10,262,328.717325,7.588735,,-4869.322310644281,1000,predicted,Mean
P76077,316.03371634999996,10,309,328.717325,7.588735,,-4394.029044678219,1000,predicted,Mean
P76078,317.716556284,10,95,328.717325,7.588735,,-3564.291938935012,1000,BullShit,Mean
P76079,314.58971635,10,248,328.717325,7.588735,,-6093.643058944808,1000,predicted,Mean
P76081,317.716556284,10,356,328.717325,7.588735,,-5349.446855192252,1000,BullShit,Mean
P07762,313.90922238504,10,728,323.67238268,4.07,326.75,-5585.172655138743,1000,predicted,Exp
P32166,314.1927797574619,10,308,332.483740134755,4.07,,-3815.251542865614,1000,predicted,Exp
P0ABU0,313.20658947225155,10,285,326.339170763495,4.07,,-3504.2099567061246,1000,predicted,Exp
P13016,313.32804391379386,10,183,326.776057243863,4.07,,-2199.0785317865693,1000,predicted,Exp
P10371,315.1781963762405,10,245,325.639915022448,4.07,,-3785.9854286996315,1000,predicted,Exp
P26647,313.5188620289731,10,245,327.46245334163,4.07,,-4312.891360554259,1000,predicted,Exp
P45568,312.29482438274,10,398,328.25368483,4.07,329.35,-4187.508621655648,1000,predicted,Exp
P77488,311.52313687682,10,620,322.88070819,4.07,325.35,-2941.3974246929147,1000,predicted,Exp
P0AEW9,312.51386411045905,10,312,329.041597519637,4.07,,-4165.23463599571,1000,predicted,Exp
P08331,319.06400647661997,10,647,331.82628229,4.07,334.55,-5401.269508924695,1000,predicted,Exp
P0A9D8,319.88878024696004,10,274,342.58446132,4.07,344.27,-6168.47402603257,1000,predicted,Exp
P62707,314.93948532942,10,250,322.18411989,4.07,323.7,-3899.7840454629513,1000,predicted,Exp
P37689,316.13349111096,10,514,331.67334932,4.07,336.23571429,-3198.3551924022854,1000,predicted,Exp
P76082,316.03371634999996,10,255,328.717325,7.588735,,-2954.5896190916,1000,predicted,Mean
P15047,316.75571635,10,248,328.717325,7.588735,,-1234.7855474307885,1000,predicted,Mean
P0ABR9,310.97971635,10,314,328.717325,7.588735,,-4319.220612892448,1000,predicted,Mean
P37674,317.716556284,10,157,328.717325,7.588735,,-4520.762579400168,1000,BullShit,Mean
P37675,317.716556284,10,425,328.717325,7.588735,,-3738.383952025185,1000,BullShit,Mean
P37672,314.58971635,10,332,328.717325,7.588735,,-5319.958017010094,1000,predicted,Mean
P37676,317.716556284,10,328,328.717325,7.588735,,-5410.793096854398,1000,BullShit,Mean
P30863,312.34781699900157,10,267,325.847183449646,4.07,,-4670.81674935051,1000,predicted,Exp
Q46857,313.01163205561994,10,275,323.04076279,4.07,325.75,-2637.1271495390674,1000,predicted,Exp
P77231,312.42371634999995,10,292,328.717325,7.588735,,-3386.8656258469196,1000,predicted,Mean
P62617,313.86771635,10,159,328.717325,7.588735,,-1958.4418612627696,1000,predicted,Mean
Q46893,315.14945525660437,10,236,338.522141210807,4.07,,-3439.9535428681893,1000,predicted,Exp
P0AB77,312.71855247262,10,398,327.18076429,4.07,331.45,-3483.3619138442095,1000,predicted,Exp
P26281,305.20371635,10,159,328.717325,7.588735,,-1841.617204303183,1000,experimental,Mean
Q6BF16,315.3117163499999,10,205,328.717325,7.588735,,-3589.379229706453,1000,predicted,Mean
P31459,313.86771635,10,292,328.717325,7.588735,,-3681.643034905386,1000,predicted,Mean
P37647,315.35369281216293,10,309,328.868319468212,4.07,,-3747.9562240640275,1000,predicted,Exp
P0A715,312.06548803711996,10,284,319.63736704,4.07,320.95,-2678.9557732521525,1000,predicted,Exp
P0A9J4,313.606870665918,10,303,327.779031172367,4.07,,-3455.1422351602,1000,predicted,Exp
P0ABQ2,315.6762993064888,10,294,332.625896785931,4.07,,-3800.1465906974067,1000,predicted,Exp
P77161,312.42371634999995,10,292,328.717325,7.588735,,-4044.1734219047657,1000,predicted,Mean
P77044,312.42371634999995,10,288,328.717325,7.588735,,-3982.0421610662784,1000,predicted,Mean
P30140,313.86771635,10,377,328.717325,7.588735,,-4389.331427359822,1000,predicted,Mean
P09151,312.43969583568,10,523,323.58056056,4.07,327.21666667,-3085.6556461809114,1000,predicted,Exp
P0A712,317.716556284,10,327,328.717325,7.588735,,-4096.543064848014,1000,BullShit,Mean
P77608,310.97971635,10,269,328.717325,7.588735,,-3249.1376002511934,1000,predicted,Mean
P77243,313.66198668649815,10,483,327.977290239202,4.07,,-2709.2547349595684,1000,predicted,Exp
P31660,310.6198211330562,10,389,324.825615586533,4.07,,-5137.237191794913,1000,predicted,Exp
P77541,314.0212090653647,10,296,326.672334767499,4.07,,-4876.549612498393,1000,predicted,Exp
P25534,317.716556284,10,392,328.717325,7.588735,,-3911.5624466303198,1000,BullShit,Mean
P0AFG3,312.63060932831996,10,933,321.67017744,4.07,321.95,-4246.305438766646,1000,predicted,Exp
P17109,308.43011759926,10,556,316.94898417,4.07,318.95,-4592.799611508788,1000,predicted,Exp
P37355,316.03371634999996,10,252,328.717325,7.588735,,-5019.21301598226,1000,predicted,Mean
P37353,313.86771635,10,451,328.717325,7.588735,,-3383.366113493314,1000,predicted,Mean
P22255,314.59986300528004,10,246,328.75382376,4.07,331.35,-4537.895245020933,1000,predicted,Exp
P0A7J0,314.4799405121137,10,217,325.725325583143,4.07,,-3420.009449531902,1000,experimental,Exp
P77397,315.3117163499999,10,554,328.717325,7.588735,,-5160.086591022198,1000,predicted,Mean
P77589,317.716556284,10,403,328.717325,7.588735,,-5346.2303505675,1000,BullShit,Mean
P0AFQ5,317.716556284,10,128,328.717325,7.588735,,-3864.851693340561,1000,BullShit,Mean
P05194,313.95621853681996,10,252,329.03567819,4.07,329.95,-2395.075052389822,1000,predicted,Exp
P07639,310.1470325993074,10,362,325.722059709739,4.07,,-4203.841972936738,1000,predicted,Exp
P75728,317.3490937678505,10,391,327.815620749535,4.07,,-3584.2728501844167,1000,BullShit,Exp
P0ABZ4,312.74672689632,10,188,329.87923344,4.07,330.95,-4759.664912787153,1000,predicted,Exp
P0AC75,313.4904271831704,10,425,329.957292025793,4.07,,-4050.1006766915193,1000,predicted,Exp
P04951,315.73855717251996,10,248,327.65560134,4.07,331.75,-2215.071575396516,1000,predicted,Exp
P0A6Q6,321.6345399248764,10,151,341.072805485167,4.07,,-3881.4725060288433,1000,predicted,Exp
P76083,312.42371634999995,10,475,328.717325,7.588735,,-3837.028077939032,1000,predicted,Mean
P0A6Q3,317.8037709410999,10,172,340.27867245,4.07,343.81666667,-4039.574768570048,1000,predicted,Exp
P0A6A6,313.14571635,10,466,328.717325,7.588735,,-3319.5445035743023,1000,predicted,Mean
P30126,313.8875025510208,10,201,326.191376082809,4.07,,-4068.7324846589804,1000,predicted,Exp
P30125,313.763302524,10,363,330.938858,4.07,342.05,-4765.537166534652,1000,predicted,Exp
P37678,315.3117163499999,10,220,328.717325,7.588735,,-3672.666431310571,1000,predicted,Mean
P39304,313.86771635,10,216,328.717325,7.588735,,-3732.965527375631,1000,predicted,Mean
P21151,312.42371634999995,10,387,328.717325,7.588735,,-5562.897969897059,1000,predicted,Mean
P76503,312.42371634999995,10,436,328.717325,7.588735,,-4325.245438026347,1000,predicted,Mean
