,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.58188549406526,10,262,315.52546970160085,7.588735,,-4934.391324440628,1000,predicted,Mean
P76077,316.2496621778505,10,309,341.19828150731746,7.588735,,-3031.8956276533877,1000,predicted,Mean
P76078,316.88948865293685,10,95,336.8769924101425,7.588735,,-4970.916037428814,1000,BullShit,Mean
P76079,315.5694890007648,10,248,351.8582967547567,7.588735,,-2296.7384918124108,1000,predicted,Mean
P76081,317.4364799666592,10,356,330.80073537859556,7.588735,,-3212.147663342037,1000,BullShit,Mean
P07762,313.823930597202,10,728,322.1193629341039,4.07,326.75,-3392.2993857030333,1000,predicted,Exp
P32166,314.36024930469,10,308,336.8659686689837,4.07,,-5353.628184100451,1000,predicted,Exp
P0ABU0,312.96937312243193,10,285,330.04021743670455,4.07,,-3110.4824555693276,1000,predicted,Exp
P13016,313.8431389332107,10,183,327.1348191652864,4.07,,-3400.151861745245,1000,predicted,Exp
P10371,314.14459699216576,10,245,321.26020327436794,4.07,,-2516.3907215398267,1000,predicted,Exp
P26647,313.0443388530724,10,245,325.54450389370015,4.07,,-3590.1376015664023,1000,predicted,Exp
P45568,312.9522928995978,10,398,326.02084767734607,4.07,329.35,-3159.403075766156,1000,predicted,Exp
P77488,311.1096483230624,10,620,323.9917634243304,4.07,325.35,-5441.070710445949,1000,predicted,Exp
P0AEW9,312.62310159194396,10,312,327.35477725615254,4.07,,-4155.81690554102,1000,predicted,Exp
P08331,319.94687265795375,10,647,335.41448895270236,4.07,334.55,-5422.46440643773,1000,predicted,Exp
P0A9D8,320.218085626636,10,274,340.7220631372437,4.07,344.27,-3404.0998033791666,1000,predicted,Exp
P62707,313.8869849989081,10,250,317.94433545441575,4.07,323.7,-3879.4758249317747,1000,predicted,Exp
P37689,315.23458982800474,10,514,323.3948353781637,4.07,336.23571429,-3690.3718452298854,1000,predicted,Exp
P76082,314.4983094916111,10,255,338.22234644898265,7.588735,,-3479.2701663933112,1000,predicted,Mean
P15047,317.04456782872865,10,248,327.44703813468146,7.588735,,-3541.240554407235,1000,predicted,Mean
P0ABR9,309.5535704306374,10,314,327.25376355387203,7.588735,,-3823.5815403530705,1000,predicted,Mean
P37674,317.3839144551503,10,157,325.9892329185675,7.588735,,-4104.865718733465,1000,BullShit,Mean
P37675,315.27423658709574,10,425,327.8156872789487,7.588735,,-3378.348351791607,1000,BullShit,Mean
P37672,313.6012247503693,10,332,331.226842007446,7.588735,,-3495.765316291427,1000,predicted,Mean
P37676,316.4399390068248,10,328,334.2109526920815,7.588735,,-3296.8348181829037,1000,BullShit,Mean
P30863,310.82437848486313,10,267,325.1757515747666,4.07,,-5428.777172829987,1000,predicted,Exp
Q46857,312.3702481826447,10,275,322.70981649174627,4.07,325.75,-3185.217242870041,1000,predicted,Exp
P77231,312.0644940968396,10,292,324.8355214774748,7.588735,,-3551.19242883225,1000,predicted,Mean
P62617,315.680218451413,10,159,327.85223583672087,7.588735,,-3550.3865687807656,1000,predicted,Mean
Q46893,315.28385720540604,10,236,331.6952095628504,4.07,,-4235.949375715886,1000,predicted,Exp
P0AB77,311.9922465014763,10,398,327.4982640564288,4.07,331.45,-5087.191921485776,1000,predicted,Exp
P26281,304.9019756996713,10,159,341.6174383459896,7.588735,,-2364.6182808785543,1000,experimental,Mean
Q6BF16,315.49856437092046,10,205,324.1049513168162,7.588735,,-3713.0135511228723,1000,predicted,Mean
P31459,314.31718890711943,10,292,338.856204251078,7.588735,,-4229.288237843676,1000,predicted,Mean
P37647,315.6501035483253,10,309,329.4428014372672,4.07,,-6872.263338065381,1000,predicted,Exp
P0A715,312.2955945256526,10,284,319.63736704,4.07,320.95,-5149.546091754789,1000,predicted,Exp
