,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.42371634999995,10,262,328.717325,7.588735,,-4521.279840145309,1000,predicted,Mean
P76077,316.03371634999996,10,309,328.717325,7.588735,,-2914.6698726400787,1000,predicted,Mean
P76078,317.716556284,10,95,328.717325,7.588735,,-4097.861704172573,1000,BullShit,Mean
P76079,314.58971635,10,248,328.717325,7.588735,,-3935.5742393341393,1000,predicted,Mean
P76081,317.716556284,10,356,328.717325,7.588735,,-3933.1466780569053,1000,BullShit,Mean
P07762,313.90922238504,10,728,323.67238268,4.07,326.75,-2253.348248227083,1000,predicted,Exp
P32166,314.1927797574619,10,308,332.483740134755,4.07,,-3359.535259227473,1000,predicted,Exp
P0ABU0,313.20658947225155,10,285,326.339170763495,4.07,,-4188.024677528371,1000,predicted,Exp
P13016,313.32804391379386,10,183,326.776057243863,4.07,,-2929.5381468363694,1000,predicted,Exp
P10371,315.1781963762405,10,245,325.639915022448,4.07,,-4076.7177077186884,1000,predicted,Exp
P26647,313.5188620289731,10,245,327.46245334163,4.07,,-4783.327165732237,1000,predicted,Exp
P45568,312.29482438274,10,398,328.25368483,4.07,329.35,-3976.219724145551,1000,predicted,Exp
P77488,311.52313687682,10,620,322.88070819,4.07,325.35,-3662.8662937334507,1000,predicted,Exp
P0AEW9,312.51386411045905,10,312,329.041597519637,4.07,,-3803.679239436299,1000,predicted,Exp
P08331,319.06400647661997,10,647,331.82628229,4.07,334.55,-3567.7334908012135,1000,predicted,Exp
P0A9D8,319.88878024696004,10,274,342.58446132,4.07,344.27,-4046.9473980985554,1000,predicted,Exp
P62707,314.93948532942,10,250,322.18411989,4.07,323.7,-4994.114721439336,1000,predicted,Exp
P37689,316.13349111096,10,514,331.67334932,4.07,336.23571429,-4080.3786478078596,1000,predicted,Exp
P76082,316.03371634999996,10,255,328.717325,7.588735,,-3746.1096585961222,1000,predicted,Mean
P15047,316.75571635,10,248,328.717325,7.588735,,-4499.453944793879,1000,predicted,Mean
P0ABR9,310.97971635,10,314,328.717325,7.588735,,-5209.1600302011875,1000,predicted,Mean
P37674,317.716556284,10,157,328.717325,7.588735,,-3142.2362945651234,1000,BullShit,Mean
P37675,317.716556284,10,425,328.717325,7.588735,,-2986.7822007219465,1000,BullShit,Mean
P37672,314.58971635,10,332,328.717325,7.588735,,-4247.247130732106,1000,predicted,Mean
P37676,317.716556284,10,328,328.717325,7.588735,,-5410.5820425516995,1000,BullShit,Mean
P30863,312.34781699900157,10,267,325.847183449646,4.07,,-3420.341776238715,1000,predicted,Exp
Q46857,313.01163205561994,10,275,323.04076279,4.07,325.75,-3929.158771222055,1000,predicted,Exp
P77231,312.42371634999995,10,292,328.717325,7.588735,,-3200.6763031506052,1000,predicted,Mean
P62617,313.86771635,10,159,328.717325,7.588735,,-3980.421844626142,1000,predicted,Mean
Q46893,315.14945525660437,10,236,338.522141210807,4.07,,-3098.081047669363,1000,predicted,Exp
P0AB77,312.71855247262,10,398,327.18076429,4.07,331.45,-3601.6316147837633,1000,predicted,Exp
P26281,305.20371635,10,159,328.717325,7.588735,,-5627.6860626366315,1000,experimental,Mean
Q6BF16,315.3117163499999,10,205,328.717325,7.588735,,-4227.1828174821985,1000,predicted,Mean
P31459,313.86771635,10,292,328.717325,7.588735,,-3063.621783697401,1000,predicted,Mean
P37647,315.35369281216293,10,309,328.868319468212,4.07,,-3166.1607378055364,1000,predicted,Exp
P0A715,312.06548803711996,10,284,319.63736704,4.07,320.95,-3640.0293563083055,1000,predicted,Exp
P0A9J4,313.606870665918,10,303,327.779031172367,4.07,,-1858.506105854191,1000,predicted,Exp
P0ABQ2,315.6762993064888,10,294,332.625896785931,4.07,,-4307.225825762175,1000,predicted,Exp
P77161,312.42371634999995,10,292,328.717325,7.588735,,-3677.83269277269,1000,predicted,Mean
P77044,312.42371634999995,10,288,328.717325,7.588735,,-4227.71595398345,1000,predicted,Mean
P30140,313.86771635,10,377,328.717325,7.588735,,-4978.492935230241,1000,predicted,Mean
P09151,312.43969583568,10,523,323.58056056,4.07,327.21666667,-4543.26714978773,1000,predicted,Exp
P0A712,317.716556284,10,327,328.717325,7.588735,,-4020.64842095891,1000,BullShit,Mean
P77608,310.97971635,10,269,328.717325,7.588735,,-2567.0184868090982,1000,predicted,Mean
P77243,313.66198668649815,10,483,327.977290239202,4.07,,-2548.839972217648,1000,predicted,Exp
P31660,310.6198211330562,10,389,324.825615586533,4.07,,-3063.627226765188,1000,predicted,Exp
P77541,314.0212090653647,10,296,326.672334767499,4.07,,-2527.336455274475,1000,predicted,Exp
P25534,317.716556284,10,392,328.717325,7.588735,,-3876.833924418798,1000,BullShit,Mean
P0AFG3,312.63060932831996,10,933,321.67017744,4.07,321.95,-4012.0773759555955,1000,predicted,Exp
P17109,308.43011759926,10,556,316.94898417,4.07,318.95,-4109.581559547148,1000,predicted,Exp
P37355,316.03371634999996,10,252,328.717325,7.588735,,-4478.847164317593,1000,predicted,Mean
P37353,313.86771635,10,451,328.717325,7.588735,,-4438.074396893586,1000,predicted,Mean
P22255,314.59986300528004,10,246,328.75382376,4.07,331.35,-4730.617504541627,1000,predicted,Exp
P0A7J0,314.4799405121137,10,217,325.725325583143,4.07,,-3389.0091795630524,1000,experimental,Exp
P77397,315.3117163499999,10,554,328.717325,7.588735,,-4358.537206207488,1000,predicted,Mean
P77589,317.716556284,10,403,328.717325,7.588735,,-3450.7969201004835,1000,BullShit,Mean
P0AFQ5,317.716556284,10,128,328.717325,7.588735,,-4516.08616106929,1000,BullShit,Mean
P05194,313.95621853681996,10,252,329.03567819,4.07,329.95,-4228.445940945636,1000,predicted,Exp
P07639,310.1470325993074,10,362,325.722059709739,4.07,,-5203.0705261977955,1000,predicted,Exp
P75728,317.3490937678505,10,391,327.815620749535,4.07,,-4358.748375925614,1000,BullShit,Exp
P0ABZ4,312.74672689632,10,188,329.87923344,4.07,330.95,-5677.16750345649,1000,predicted,Exp
P0AC75,313.4904271831704,10,425,329.957292025793,4.07,,-3025.8668271705164,1000,predicted,Exp
P04951,315.73855717251996,10,248,327.65560134,4.07,331.75,-5574.813126164029,1000,predicted,Exp
P0A6Q6,321.6345399248764,10,151,341.072805485167,4.07,,-3269.873705888641,1000,predicted,Exp
P76083,312.42371634999995,10,475,328.717325,7.588735,,-4408.830046537541,1000,predicted,Mean
P0A6Q3,317.8037709410999,10,172,340.27867245,4.07,343.81666667,-4941.896132934056,1000,predicted,Exp
P0A6A6,313.14571635,10,466,328.717325,7.588735,,-2666.2413761921644,1000,predicted,Mean
P30126,313.8875025510208,10,201,326.191376082809,4.07,,-3810.250358016772,1000,predicted,Exp
P30125,313.763302524,10,363,330.938858,4.07,342.05,-3916.1461906516597,1000,predicted,Exp
P37678,315.3117163499999,10,220,328.717325,7.588735,,-3900.871114021604,1000,predicted,Mean
P39304,313.86771635,10,216,328.717325,7.588735,,-5391.804344442511,1000,predicted,Mean
P21151,312.42371634999995,10,387,328.717325,7.588735,,-5028.244906378749,1000,predicted,Mean
P76503,312.42371634999995,10,436,328.717325,7.588735,,-3740.4255134721284,1000,predicted,Mean
P31142,315.8210496443,10,281,327.95233685,4.07,329.81666667,-4444.158349095096,1000,predicted,Exp
P31057,321.6638975206638,10,264,354.164019858503,4.07,,-3059.016508853074,1000,predicted,Exp
P0AAB4,318.8911548427146,10,497,344.190125333506,4.07,,-3146.6689389116896,1000,predicted,Exp
Q46890,312.42371634999995,10,212,328.717325,7.588735,,-3788.2253070844026,1000,predicted,Mean
P0A953,312.32901953268,10,406,320.58532206,4.07,323.05,-3458.2548113894372,1000,predicted,Exp
P0AAI5,317.33733668085995,10,413,338.60085137,4.07,341.77857143,-3127.6834447272763,1000,predicted,Exp
P0AEK2,313.45587259450275,10,244,324.638750339938,4.07,,-4789.637201286977,1000,predicted,Exp
P0C7L2,313.86771635,10,401,328.717325,7.588735,,-4052.4936109661044,1000,predicted,Mean
P0CI31,312.42371634999995,10,270,328.717325,7.588735,,-3309.5592999374967,1000,predicted,Mean
P0ABR5,315.3117163499999,10,453,328.717325,7.588735,,-3727.578111914897,1000,predicted,Mean
P0ABW0,316.75571635,10,106,328.717325,7.588735,,-3757.701069588601,1000,predicted,Mean
P77650,313.14571635,10,400,328.717325,7.588735,,-5492.003682475328,1000,predicted,Mean
Q47140,315.3117163499999,10,172,328.717325,7.588735,,-3956.4595914401566,1000,predicted,Mean
P0A6D3,312.82554656952,10,427,324.96851284,4.07,329.95,-5071.519128720522,1000,predicted,Exp
P0A9V8,311.70171634999997,10,298,328.717325,7.588735,,-4846.245975200272,1000,predicted,Mean
P37623,312.42371634999995,10,195,328.717325,7.588735,,-3442.9302243636275,1000,predicted,Mean
P15977,313.58055111930963,10,694,325.087234242121,4.07,,-4128.441542648022,1000,predicted,Exp
P22256,318.47393580275997,10,426,342.68933742,4.07,344.68333333,-3740.945098552599,1000,predicted,Exp
P50457,312.584623002,10,421,321.504759,4.07,322.55,-2883.5399434400806,1000,predicted,Exp
P62615,310.24875910880513,10,283,326.087982405774,4.07,,-4822.431135932413,1000,predicted,Exp
P51020,313.86771635,10,337,328.717325,7.588735,,-5065.797867037623,1000,predicted,Mean
P62620,309.26460680202,10,372,317.35362159,4.07,327.95,-3446.688261948534,1000,predicted,Exp
P62623,315.1818942982647,10,316,328.250339202391,4.07,,-4260.317517281596,1000,predicted,Exp
P04036,317.95256975443993,10,273,340.81391998,4.07,346.35,-4867.925566880258,1000,predicted,Exp
P0A6L2,315.86123057206,10,292,338.48536177,4.07,341.55,-3008.8136716780073,1000,predicted,Exp
P0AGK1,317.716556284,10,290,328.717325,7.588735,,-4618.058946448333,1000,BullShit,Mean
P19624,312.631513823375,10,329,326.867675623651,4.07,,-2031.512754359401,1000,predicted,Exp
P76491,313.3149346910802,10,199,329.326024068634,4.07,,-3957.0740720551803,1000,predicted,Exp
P0AF12,312.75507874190004,10,232,329.90927605,4.07,329.88333333,-2517.71746183305,1000,predicted,Exp
P0A840,312.3209815299696,10,253,325.750652985502,4.07,,-3834.30488070514,1000,predicted,Exp
P0AEZ1,312.42371634999995,10,296,328.717325,7.588735,,-3597.4024798868527,1000,predicted,Mean
P0AC28,317.47771635000004,10,182,328.717325,7.588735,,-3830.549831083504,1000,predicted,Mean
P23522,312.93299161107336,10,256,327.952128097386,4.07,,-4091.652209736155,1000,predicted,Exp
P0A9P9,313.14571635,10,254,328.717325,7.588735,,-407.2102644386496,1000,predicted,Mean
P25665,311.07620785274,10,753,321.27304983,4.07,322.53,-4740.346682339371,1000,predicted,Exp
P61714,316.03371634999996,10,156,328.717325,7.588735,,-2760.3078556742453,1000,predicted,Mean
P65870,316.75571635,10,121,328.717325,7.588735,,-3620.751274504726,1000,predicted,Mean
Q46829,316.98703156596,10,479,326.95227182,4.07,328.15,-3563.6152807085045,1000,predicted,Exp
P17411,314.58971635,10,450,328.717325,7.588735,,-3524.5414122885218,1000,experimental,Mean
P00350,315.93966554945996,10,468,330.97613507,4.07,332.2125,-4889.379247968318,1000,predicted,Exp
P52697,316.9018020557,10,331,329.24281315,4.07,330.75,-5581.418891663951,1000,predicted,Exp
P77756,316.2220777779716,10,231,326.797761791265,4.07,,-4373.245176077616,1000,predicted,Exp
P12998,314.58971635,10,384,328.717325,7.588735,,-2439.348355990254,1000,predicted,Mean
P08337,319.71284953952,10,129,331.56312784,4.07,332.35,-4160.020460312097,1000,predicted,Exp
P30860,319.03261234651353,10,243,331.94675193,4.07,333.81666667,-3387.242064968775,1000,BullShit,Exp
