,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.42371634999995,10,262,321.41334172584845,7.588735,,-4869.322310644281,1000,predicted,Mean
P76077,316.03371634999996,10,309,343.36477338691435,7.588735,,-4394.029044678219,1000,predicted,Mean
P76078,317.716556284,10,95,322.3302312831156,7.588735,,-3564.291938935012,1000,BullShit,Mean
P76079,314.58971635,10,248,328.09012810435286,7.588735,,-6093.643058944808,1000,predicted,Mean
P76081,317.716556284,10,356,332.73114805745627,7.588735,,-5349.446855192252,1000,BullShit,Mean
P07762,313.90922238504,10,728,323.27368393060897,4.07,326.75,-5585.172655138743,1000,predicted,Exp
P32166,314.1927797574619,10,308,333.1567879587043,4.07,,-3815.251542865614,1000,predicted,Exp
P0ABU0,313.20658947225155,10,285,328.28511269252516,4.07,,-3504.2099567061246,1000,predicted,Exp
P13016,313.32804391379386,10,183,324.7740104968408,4.07,,-2199.0785317865693,1000,predicted,Exp
P10371,315.1781963762405,10,245,328.17559853266874,4.07,,-3785.9854286996315,1000,predicted,Exp
P26647,313.5188620289731,10,245,328.3114759098767,4.07,,-4312.891360554259,1000,predicted,Exp
P45568,312.29482438274,10,398,326.6880312834646,4.07,329.35,-4187.508621655648,1000,predicted,Exp
P77488,311.52313687682,10,620,320.9639773061805,4.07,325.35,-2941.3974246929147,1000,predicted,Exp
P0AEW9,312.51386411045905,10,312,330.1034730623065,4.07,,-4165.23463599571,1000,predicted,Exp
P08331,319.06400647661997,10,647,330.1795346227487,4.07,334.55,-5401.269508924695,1000,predicted,Exp
P0A9D8,319.88878024696004,10,274,345.1199824921713,4.07,344.27,-6168.47402603257,1000,predicted,Exp
P62707,314.93948532942,10,250,323.30322737235144,4.07,323.7,-3899.7840454629513,1000,predicted,Exp
P37689,316.13349111096,10,514,333.76479082024065,4.07,336.23571429,-3198.3551924022854,1000,predicted,Exp
P76082,316.03371634999996,10,255,321.58714226265135,7.588735,,-2954.5896190916,1000,predicted,Mean
P15047,316.75571635,10,248,321.2004412751462,7.588735,,-1234.7855474307885,1000,predicted,Mean
P0ABR9,310.97971635,10,314,333.17338099145866,7.588735,,-4319.220612892448,1000,predicted,Mean
P37674,317.716556284,10,157,327.3452596024861,7.588735,,-4520.762579400168,1000,BullShit,Mean
P37675,317.716556284,10,425,330.42018484676765,7.588735,,-3738.383952025185,1000,BullShit,Mean
P37672,314.58971635,10,332,336.4181479051027,7.588735,,-5319.958017010094,1000,predicted,Mean
P37676,317.716556284,10,328,330.93791092283016,7.588735,,-5410.793096854398,1000,BullShit,Mean
P30863,312.34781699900157,10,267,324.8526756119019,4.07,,-4670.81674935051,1000,predicted,Exp
Q46857,313.01163205561994,10,275,324.2274886301011,4.07,325.75,-2637.1271495390674,1000,predicted,Exp
P77231,312.42371634999995,10,292,345.4024434634739,7.588735,,-3386.8656258469196,1000,predicted,Mean
P62617,313.86771635,10,159,338.15934456603134,7.588735,,-1958.4418612627696,1000,predicted,Mean
Q46893,315.14945525660437,10,236,341.0710496051219,4.07,,-3439.9535428681893,1000,predicted,Exp
P0AB77,312.71855247262,10,398,328.3365209391914,4.07,331.45,-3483.3619138442095,1000,predicted,Exp
P26281,305.20371635,10,159,335.4093209947452,7.588735,,-1841.617204303183,1000,experimental,Mean
Q6BF16,315.3117163499999,10,205,333.2534540873028,7.588735,,-3589.379229706453,1000,predicted,Mean
P31459,313.86771635,10,292,330.4140932279449,7.588735,,-3681.643034905386,1000,predicted,Mean
P37647,315.35369281216293,10,309,328.15469390543547,4.07,,-3747.9562240640275,1000,predicted,Exp
P0A715,312.06548803711996,10,284,319.63736704,4.07,320.95,-2678.9557732521525,1000,predicted,Exp
P0A9J4,313.606870665918,10,303,325.76102315630925,4.07,,-3455.1422351602,1000,predicted,Exp
P0ABQ2,315.6762993064888,10,294,333.79875686346423,4.07,,-3800.1465906974067,1000,predicted,Exp
P77161,312.42371634999995,10,292,330.6363051330194,7.588735,,-4044.1734219047657,1000,predicted,Mean
P77044,312.42371634999995,10,288,340.4024168790283,7.588735,,-3982.0421610662784,1000,predicted,Mean
P30140,313.86771635,10,377,326.4302615683354,7.588735,,-4389.331427359822,1000,predicted,Mean
P09151,312.43969583568,10,523,325.7341953125076,4.07,327.21666667,-3085.6556461809114,1000,predicted,Exp
P0A712,317.716556284,10,327,323.04945801793235,7.588735,,-4096.543064848014,1000,BullShit,Mean
P77608,310.97971635,10,269,326.59542302889326,7.588735,,-3249.1376002511934,1000,predicted,Mean
P77243,313.66198668649815,10,483,327.40531572889455,4.07,,-2709.2547349595684,1000,predicted,Exp
P31660,310.6198211330562,10,389,322.42227351439453,4.07,,-5137.237191794913,1000,predicted,Exp
P77541,314.0212090653647,10,296,325.3005138503884,4.07,,-4876.549612498393,1000,predicted,Exp
