,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.3980654834843,10,262,328.1696016692323,7.588735,,-3736.2324902291243,1000,predicted,Mean
P76077,316.0137486706844,10,309,325.1056543172878,7.588735,,-2890.036416050633,1000,predicted,Mean
P76078,318.660395498243,10,95,331.1440190192445,7.588735,,-2676.01200025353,1000,BullShit,Mean
P76079,314.5674753958044,10,248,329.58306507596063,7.588735,,-4321.560321851851,1000,predicted,Mean
P76081,318.660395498243,10,356,326.0826835749714,7.588735,,-3631.714495089122,1000,BullShit,Mean
P07762,313.8938523386079,10,728,324.077250296648,4.07,326.75,-4914.018291742854,1000,predicted,Exp
P32166,314.1639844799296,10,308,331.1683784813038,4.07,,-2131.5738575447594,1000,predicted,Exp
P0ABU0,313.1859149797593,10,285,323.56811506014617,4.07,,-3297.113245482988,1000,predicted,Exp
P13016,313.30687283977096,10,183,329.48393961442525,4.07,,-2915.472492763895,1000,predicted,Exp
P10371,315.1617265963236,10,245,330.41138257979287,4.07,,-4433.389140027023,1000,predicted,Exp
P26647,313.4969107714468,10,245,324.7261152759566,4.07,,-4288.526156410813,1000,predicted,Exp
P45568,312.2697005070002,10,398,328.7576131836523,4.07,329.35,-4711.434331777154,1000,predicted,Exp
P77488,311.5052567649335,10,620,321.8139778374119,4.07,325.35,-3893.480078479428,1000,predicted,Exp
P0AEW9,312.4878446636568,10,312,330.1563460792204,4.07,,-3003.8701786066413,1000,predicted,Exp
P08331,319.0439149523692,10,647,331.52526894687736,4.07,334.55,-4505.983372656887,1000,predicted,Exp
P0A9D8,319.85305066131747,10,274,345.26788503930277,4.07,344.27,-3090.3636226273707,1000,predicted,Exp
P62707,314.9280801730756,10,250,320.2047842089177,4.07,323.7,-4011.4632791686768,1000,predicted,Exp
P37689,316.1090268662887,10,514,330.2020085772601,4.07,336.23571429,-5573.228891760928,1000,predicted,Exp
P76082,316.0137486706844,10,255,328.58663081038236,7.588735,,-4145.144625365306,1000,predicted,Mean
P15047,316.73688530812433,10,248,323.83588104857233,7.588735,,-4804.128765732182,1000,predicted,Mean
P0ABR9,310.9517922086044,10,314,336.60864495519957,7.588735,,-4929.666932547987,1000,predicted,Mean
P37674,318.660395498243,10,157,335.15729926227675,7.588735,,-3997.9240456080065,1000,BullShit,Mean
P37675,318.660395498243,10,425,331.5338309029246,7.588735,,-3020.929502925989,1000,BullShit,Mean
P37672,314.5674753958044,10,332,325.5594396102165,7.588735,,-4588.861556373848,1000,predicted,Mean
P37676,318.660395498243,10,328,324.8788402208186,7.588735,,-3331.7202789382654,1000,BullShit,Mean
P30863,312.32656508027014,10,267,327.24614452909356,4.07,,-2793.853697565215,1000,predicted,Exp
Q46857,312.99584329456263,10,275,319.3007437959116,4.07,325.75,-3919.943774364546,1000,predicted,Exp
P77231,312.3980654834843,10,292,338.1763180581113,7.588735,,-2459.8518468995712,1000,predicted,Mean
P62617,313.8443387583644,10,159,325.16001406958503,7.588735,,-4196.84659379902,1000,predicted,Mean
Q46893,315.11265986889117,10,236,335.1469846603342,4.07,,-4052.199431978876,1000,predicted,Exp
P0AB77,312.69578475597615,10,398,329.553017774557,4.07,331.45,-3115.0839149285066,1000,predicted,Exp
P26281,305.16669910908433,10,159,329.2300852733376,7.588735,,-4847.093572133861,1000,experimental,Mean
Q6BF16,315.2906120332443,10,205,324.6210844867626,7.588735,,-2943.7036069862347,1000,predicted,Mean
P31459,313.8443387583644,10,292,332.12231373065964,7.588735,,-4292.678995398024,1000,predicted,Mean
P37647,315.3324168694415,10,309,331.39035444432784,4.07,,-4515.033017866094,1000,predicted,Exp
P0A715,312.05356770309527,10,284,324.01214966417535,4.07,320.95,-2786.728315311375,1000,predicted,Exp
P0A9J4,313.5845595741766,10,303,331.0048294564043,4.07,,-3560.0636471088737,1000,predicted,Exp
P0ABQ2,315.64961572326433,10,294,335.2498197432471,4.07,,-5325.756923426031,1000,predicted,Exp
P77161,312.3980654834843,10,292,330.0739209944096,7.588735,,-4957.04769104756,1000,predicted,Mean
P77044,312.3980654834843,10,288,330.3115646496828,7.588735,,-4062.290089169593,1000,predicted,Mean
P30140,313.8443387583644,10,377,337.1137897110192,7.588735,,-3730.5009647626025,1000,predicted,Mean
P09151,312.4221568828273,10,523,324.06040974677336,4.07,327.21666667,-4683.28789654987,1000,predicted,Exp
P0A712,318.660395498243,10,327,323.9702426230905,7.588735,,-3277.294500922594,1000,BullShit,Mean
P77608,310.9517922086044,10,269,326.024019526655,7.588735,,-3607.324712257985,1000,predicted,Mean
P77243,313.63945024607847,10,483,328.2127014259632,4.07,,-2827.7183205491137,1000,predicted,Exp
P31660,310.5974570917254,10,389,325.915345102818,4.07,,-2862.397959880699,1000,predicted,Exp
P77541,314.0012925236317,10,296,326.581398366364,4.07,,-2145.0523717095307,1000,predicted,Exp
P25534,318.660395498243,10,392,330.0533391540387,7.588735,,-3567.832426557968,1000,BullShit,Mean
P0AFG3,312.61637842588624,10,933,319.7127816778791,4.07,321.95,-3886.790441326627,1000,predicted,Exp
P17109,308.41670643209847,10,556,317.1299918293523,4.07,318.95,-4069.247987032548,1000,predicted,Exp
P37355,316.0137486706844,10,252,329.6851759954639,7.588735,,-4575.370134791692,1000,predicted,Mean
P37353,313.8443387583644,10,451,329.8983276991158,7.588735,,-6535.578456374403,1000,predicted,Mean
P22255,314.57758056522727,10,246,329.82724306230153,4.07,331.35,-3142.0186099449934,1000,predicted,Exp
P0A7J0,314.46223701391574,10,217,324.06964356708465,4.07,,-6002.204935078077,1000,experimental,Exp
P77397,315.2906120332443,10,554,323.99745920412965,7.588735,,-4142.6716680809905,1000,predicted,Mean
P77589,318.660395498243,10,403,330.23023424871724,7.588735,,-3346.215044995027,1000,BullShit,Mean
P0AFQ5,318.660395498243,10,128,329.97090211988757,7.588735,,-3584.0970542847263,1000,BullShit,Mean
P05194,313.9324790930295,10,252,328.68586915888994,4.07,329.95,-5069.379582351561,1000,predicted,Exp
P07639,310.1225129885834,10,362,323.1532150417472,4.07,,-3851.0038354860176,1000,predicted,Exp
P75728,318.2470963399688,10,391,327.7995148030346,4.07,,-3275.4585117843603,1000,BullShit,Exp
P0ABZ4,312.71975536116963,10,188,328.12319275841634,4.07,330.95,-4872.902183255988,1000,predicted,Exp
P0AC75,313.46450356114883,10,425,331.9080463766703,4.07,,-3932.2056063648397,1000,predicted,Exp
P04951,315.7197962880672,10,248,327.2704342939302,4.07,331.75,-4590.452801739988,1000,predicted,Exp
P0A6Q6,321.6039384561721,10,151,342.7848532078519,4.07,,-2160.7787398695405,1000,predicted,Exp
P76083,312.3980654834843,10,475,327.0581346855528,7.588735,,-3456.60381335429,1000,predicted,Mean
P0A6Q3,317.76838892653575,10,172,340.8490634517414,4.07,343.81666667,-3460.166222362362,1000,predicted,Exp
P0A6A6,313.12120212092435,10,466,326.53318259881564,7.588735,,-4656.411141086489,1000,predicted,Mean
P30126,313.86813268493603,10,201,328.5301182811839,4.07,,-2801.011039105575,1000,predicted,Exp
P30125,313.7362632173424,10,363,333.01812327727265,4.07,342.05,-4527.494875756812,1000,predicted,Exp
P37678,315.2906120332443,10,220,328.9545549020436,7.588735,,-5562.843457717364,1000,predicted,Mean
P39304,313.8443387583644,10,216,330.831765268991,7.588735,,-3844.2411081136393,1000,predicted,Mean
P21151,312.3980654834843,10,387,325.1828039464054,7.588735,,-3844.127462360565,1000,predicted,Mean
P76503,312.3980654834843,10,436,331.7147249855112,7.588735,,-4059.8593991712182,1000,predicted,Mean
P31142,315.80195147915674,10,281,328.1266250969273,4.07,329.81666667,-4609.291479965601,1000,predicted,Exp
P31057,321.61273290036775,10,264,352.61819027016645,4.07,,-2747.215555239532,1000,predicted,Exp
P0AAB4,318.85132692435826,10,497,343.15707898807256,4.07,,-7125.70359055384,1000,predicted,Exp
Q46890,312.3980654834843,10,212,329.5944259378147,7.588735,,-3849.4051438759006,1000,predicted,Mean
P0A953,312.3160217174881,10,406,321.7255602158625,4.07,323.05,-4777.89623748258,1000,predicted,Exp
P0AAI5,317.303861740553,10,413,341.40707521629326,4.07,341.77857143,-4992.784488676942,1000,predicted,Exp
P0AEK2,313.4382675009675,10,244,324.10158956852825,4.07,,-4611.865649034912,1000,predicted,Exp
P0C7L2,313.8443387583644,10,401,336.3036942635162,7.588735,,-5709.22153176684,1000,predicted,Mean
P0CI31,312.3980654834843,10,270,328.4567773857354,7.588735,,-4408.077795177411,1000,predicted,Mean
P0ABR5,315.2906120332443,10,453,329.8283503547343,7.588735,,-4661.815511160209,1000,predicted,Mean
P0ABW0,316.73688530812433,10,106,331.82602612946937,7.588735,,-3774.6868032507396,1000,predicted,Mean
P77650,313.12120212092435,10,400,327.5106371503663,7.588735,,-3528.0798541287168,1000,predicted,Mean
Q47140,315.2906120332443,10,172,326.69824193501614,7.588735,,-2894.587384104095,1000,predicted,Mean
P0A6D3,312.80643001814093,10,427,324.22563446913614,4.07,329.95,-3537.9706375296787,1000,predicted,Exp
P0A9V8,311.6749288460443,10,298,335.77600671732904,7.588735,,-5294.451323104829,1000,predicted,Mean
P37623,312.3980654834843,10,195,329.5234825625974,7.588735,,-4026.380324468561,1000,predicted,Mean
