,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,311.566158,10,262,328.717325,7.588735,,-4265.693832419443,1000,predicted,Mean
P76077,315.366158,10,309,328.717325,7.588735,,-3968.4165896128893,1000,predicted,Mean
P76078,316.7599677,10,95,328.717325,7.588735,,-3556.1972014041244,1000,BullShit,Mean
P76079,313.846158,10,248,328.717325,7.588735,,-2984.876213469252,1000,predicted,Mean
P76081,316.7599677,10,356,328.717325,7.588735,,-2861.013107536089,1000,BullShit,Mean
P07762,313.3953718432,10,728,323.67238268,4.07,326.75,-3663.014960705797,1000,predicted,Exp
P32166,313.2300976323412,10,308,332.483740134755,4.07,,-4084.27661748432,1000,predicted,Exp
P0ABU0,312.51540098323875,10,285,326.339170763495,4.07,,-3126.3925606784683,1000,predicted,Exp
P13016,312.6202537385271,10,183,326.776057243863,4.07,,-5224.048286676585,1000,predicted,Exp
P10371,314.6275796053875,10,245,325.639915022448,4.07,,-3829.6462952739457,1000,predicted,Exp
P26647,312.7849888019912,10,245,327.46245334163,4.07,,-3673.5805754925004,1000,predicted,Exp
P45568,311.4548843592,10,398,328.25368483,4.07,329.35,-6099.6878945492535,1000,predicted,Exp
P77488,310.9253699656,10,620,322.88070819,4.07,325.35,-1924.0675659596636,1000,predicted,Exp
P0AEW9,311.64398340471286,10,312,329.041597519637,4.07,,-5100.384616009142,1000,predicted,Exp
P08331,318.3923077496,10,647,331.82628229,4.07,334.55,-4529.019764269156,1000,predicted,Exp
P0A9D8,318.6942707168,10,274,342.58446132,4.07,344.27,-4593.92757991625,1000,predicted,Exp
P62707,314.55818877359997,10,250,322.18411989,4.07,323.7,-4766.243036116777,1000,predicted,Exp
P37689,315.3156038368,10,514,331.67334932,4.07,336.23571429,-3073.133834829876,1000,predicted,Exp
P76082,315.366158,10,255,328.717325,7.588735,,-4730.115146225288,1000,predicted,Mean
P15047,316.126158,10,248,328.717325,7.588735,,-3188.639889221682,1000,predicted,Mean
P0ABR9,310.046158,10,314,328.717325,7.588735,,-2859.640742594178,1000,predicted,Mean
P37674,316.7599677,10,157,328.717325,7.588735,,-4537.019829077982,1000,BullShit,Mean
P37675,316.7599677,10,425,328.717325,7.588735,,-3100.1099956182625,1000,BullShit,Mean
P37672,313.846158,10,332,328.717325,7.588735,,-4100.223301216136,1000,predicted,Mean
P37676,316.7599677,10,328,328.717325,7.588735,,-2652.5119446883064,1000,BullShit,Mean
P30863,311.63732402791504,10,267,325.847183449646,4.07,,-2162.354548488911,1000,predicted,Exp
Q46857,312.48378306959995,10,275,323.04076279,4.07,325.75,-4216.228940270734,1000,predicted,Exp
P77231,311.566158,10,292,328.717325,7.588735,,-5260.454430915109,1000,predicted,Mean
